# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant
ORF%20TRINITY_DN12942_c0_g1_i1%7Cg.61680%20TRINITY_DN12942_c0_g1_i1%7Cm.61680%20type%3A5prime_partial%20len%3A120%20(%2B)	TRINITY_DN12942_c0_g1_i1|g.61680	TRINITY_DN12942_c0_g1_i1|m.61680	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN13005_c0_g1_i1%7Cg.61555%20TRINITY_DN13005_c0_g1_i1%7Cm.61555%20type%3A5prime_partial%20len%3A173%20(%2B)	TRINITY_DN13005_c0_g1_i1|g.61555	TRINITY_DN13005_c0_g1_i1|m.61555	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN13026_c0_g2_i1%7Cg.61549%20TRINITY_DN13026_c0_g2_i1%7Cm.61549%20type%3A5prime_partial%20len%3A129%20(-)	TRINITY_DN13026_c0_g2_i1|g.61549	TRINITY_DN13026_c0_g2_i1|m.61549	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ORF%20TRINITY_DN13282_c0_g1_i1%7Cg.76928%20TRINITY_DN13282_c0_g1_i1%7Cm.76928%20type%3A5prime_partial%20len%3A261%20(%2B)	TRINITY_DN13282_c0_g1_i1|g.76928	TRINITY_DN13282_c0_g1_i1|m.76928	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN13311_c0_g1_i1%7Cg.47663%20TRINITY_DN13311_c0_g1_i1%7Cm.47663%20type%3Acomplete%20len%3A180%20(-)	TRINITY_DN13311_c0_g1_i1|g.47663	TRINITY_DN13311_c0_g1_i1|m.47663	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN13773_c0_g1_i1%7Cg.35216%20TRINITY_DN13773_c0_g1_i1%7Cm.35216%20type%3A5prime_partial%20len%3A161%20(-)	TRINITY_DN13773_c0_g1_i1|g.35216	TRINITY_DN13773_c0_g1_i1|m.35216	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN14555_c0_g1_i1%7Cg.31709%20TRINITY_DN14555_c0_g1_i1%7Cm.31709%20type%3Ainternal%20len%3A350%20(-)	TRINITY_DN14555_c0_g1_i1|g.31709	TRINITY_DN14555_c0_g1_i1|m.31709	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ORF%20TRINITY_DN14555_c0_g1_i1%7Cg.31710%20TRINITY_DN14555_c0_g1_i1%7Cm.31710%20type%3A5prime_partial%20len%3A118%20(%2B)	TRINITY_DN14555_c0_g1_i1|g.31710	TRINITY_DN14555_c0_g1_i1|m.31710	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN14716_c0_g2_i1%7Cg.10014%20TRINITY_DN14716_c0_g2_i1%7Cm.10014%20type%3A5prime_partial%20len%3A108%20(%2B)	TRINITY_DN14716_c0_g2_i1|g.10014	TRINITY_DN14716_c0_g2_i1|m.10014	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN15086_c0_g1_i1%7Cg.95128%20TRINITY_DN15086_c0_g1_i1%7Cm.95128%20type%3Acomplete%20len%3A148%20(-)	TRINITY_DN15086_c0_g1_i1|g.95128	TRINITY_DN15086_c0_g1_i1|m.95128	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN15086_c0_g2_i1%7Cg.95131%20TRINITY_DN15086_c0_g2_i1%7Cm.95131%20type%3Acomplete%20len%3A148%20(-)	TRINITY_DN15086_c0_g2_i1|g.95131	TRINITY_DN15086_c0_g2_i1|m.95131	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN15577_c0_g1_i1%7Cg.29573%20TRINITY_DN15577_c0_g1_i1%7Cm.29573%20type%3A5prime_partial%20len%3A169%20(%2B)	TRINITY_DN15577_c0_g1_i1|g.29573	TRINITY_DN15577_c0_g1_i1|m.29573	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN15825_c0_g1_i1%7Cg.74628%20TRINITY_DN15825_c0_g1_i1%7Cm.74628%20type%3A5prime_partial%20len%3A156%20(%2B)	TRINITY_DN15825_c0_g1_i1|g.74628	TRINITY_DN15825_c0_g1_i1|m.74628	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN16283_c0_g1_i1%7Cg.86990%20TRINITY_DN16283_c0_g1_i1%7Cm.86990%20type%3Acomplete%20len%3A362%20(-)	TRINITY_DN16283_c0_g1_i1|g.86990	TRINITY_DN16283_c0_g1_i1|m.86990	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN16391_c0_g2_i1%7Cg.90010%20TRINITY_DN16391_c0_g2_i1%7Cm.90010%20type%3A5prime_partial%20len%3A134%20(-)	TRINITY_DN16391_c0_g2_i1|g.90010	TRINITY_DN16391_c0_g2_i1|m.90010	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN16542_c0_g1_i1%7Cg.89763%20TRINITY_DN16542_c0_g1_i1%7Cm.89763%20type%3A3prime_partial%20len%3A344%20(-)	TRINITY_DN16542_c0_g1_i1|g.89763	TRINITY_DN16542_c0_g1_i1|m.89763	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN16542_c0_g1_i1%7Cg.89764%20TRINITY_DN16542_c0_g1_i1%7Cm.89764%20type%3A5prime_partial%20len%3A326%20(%2B)	TRINITY_DN16542_c0_g1_i1|g.89764	TRINITY_DN16542_c0_g1_i1|m.89764	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN16542_c0_g1_i1%7Cg.89765%20TRINITY_DN16542_c0_g1_i1%7Cm.89765%20type%3Acomplete%20len%3A281%20(%2B)	TRINITY_DN16542_c0_g1_i1|g.89765	TRINITY_DN16542_c0_g1_i1|m.89765	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN16542_c0_g1_i1%7Cg.89767%20TRINITY_DN16542_c0_g1_i1%7Cm.89767%20type%3Acomplete%20len%3A229%20(-)	TRINITY_DN16542_c0_g1_i1|g.89767	TRINITY_DN16542_c0_g1_i1|m.89767	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN16763_c0_g2_i1%7Cg.98655%20TRINITY_DN16763_c0_g2_i1%7Cm.98655%20type%3A5prime_partial%20len%3A193%20(-)	TRINITY_DN16763_c0_g2_i1|g.98655	TRINITY_DN16763_c0_g2_i1|m.98655	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN16826_c0_g2_i1%7Cg.47628%20TRINITY_DN16826_c0_g2_i1%7Cm.47628%20type%3Acomplete%20len%3A124%20(%2B)	TRINITY_DN16826_c0_g2_i1|g.47628	TRINITY_DN16826_c0_g2_i1|m.47628	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN17571_c0_g1_i1%7Cg.87317%20TRINITY_DN17571_c0_g1_i1%7Cm.87317%20type%3A5prime_partial%20len%3A103%20(%2B)	TRINITY_DN17571_c0_g1_i1|g.87317	TRINITY_DN17571_c0_g1_i1|m.87317	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN17575_c0_g1_i1%7Cg.87334%20TRINITY_DN17575_c0_g1_i1%7Cm.87334%20type%3A5prime_partial%20len%3A189%20(-)	TRINITY_DN17575_c0_g1_i1|g.87334	TRINITY_DN17575_c0_g1_i1|m.87334	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN17575_c0_g1_i1%7Cg.87335%20TRINITY_DN17575_c0_g1_i1%7Cm.87335%20type%3Acomplete%20len%3A129%20(-)	TRINITY_DN17575_c0_g1_i1|g.87335	TRINITY_DN17575_c0_g1_i1|m.87335	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN17589_c0_g1_i1%7Cg.87318%20TRINITY_DN17589_c0_g1_i1%7Cm.87318%20type%3Ainternal%20len%3A213%20(-)	TRINITY_DN17589_c0_g1_i1|g.87318	TRINITY_DN17589_c0_g1_i1|m.87318	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN17589_c0_g1_i1%7Cg.87319%20TRINITY_DN17589_c0_g1_i1%7Cm.87319%20type%3A5prime_partial%20len%3A143%20(%2B)	TRINITY_DN17589_c0_g1_i1|g.87319	TRINITY_DN17589_c0_g1_i1|m.87319	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN17596_c0_g1_i1%7Cg.87321%20TRINITY_DN17596_c0_g1_i1%7Cm.87321%20type%3A5prime_partial%20len%3A189%20(%2B)	TRINITY_DN17596_c0_g1_i1|g.87321	TRINITY_DN17596_c0_g1_i1|m.87321	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN17662_c0_g1_i1%7Cg.8369%20TRINITY_DN17662_c0_g1_i1%7Cm.8369%20type%3Acomplete%20len%3A188%20(%2B)	TRINITY_DN17662_c0_g1_i1|g.8369	TRINITY_DN17662_c0_g1_i1|m.8369	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN17813_c0_g1_i1%7Cg.29599%20TRINITY_DN17813_c0_g1_i1%7Cm.29599%20type%3A5prime_partial%20len%3A159%20(%2B)	TRINITY_DN17813_c0_g1_i1|g.29599	TRINITY_DN17813_c0_g1_i1|m.29599	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN18475_c0_g1_i1%7Cg.15889%20TRINITY_DN18475_c0_g1_i1%7Cm.15889%20type%3Acomplete%20len%3A107%20(-)	TRINITY_DN18475_c0_g1_i1|g.15889	TRINITY_DN18475_c0_g1_i1|m.15889	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN19438_c0_g1_i1%7Cg.103541%20TRINITY_DN19438_c0_g1_i1%7Cm.103541%20type%3Acomplete%20len%3A133%20(%2B)	TRINITY_DN19438_c0_g1_i1|g.103541	TRINITY_DN19438_c0_g1_i1|m.103541	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN19793_c0_g2_i1%7Cg.22388%20TRINITY_DN19793_c0_g2_i1%7Cm.22388%20type%3Ainternal%20len%3A170%20(%2B)	TRINITY_DN19793_c0_g2_i1|g.22388	TRINITY_DN19793_c0_g2_i1|m.22388	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN20634_c0_g1_i1%7Cg.46281%20TRINITY_DN20634_c0_g1_i1%7Cm.46281%20type%3Ainternal%20len%3A253%20(-)	TRINITY_DN20634_c0_g1_i1|g.46281	TRINITY_DN20634_c0_g1_i1|m.46281	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN20856_c0_g1_i1%7Cg.62313%20TRINITY_DN20856_c0_g1_i1%7Cm.62313%20type%3A5prime_partial%20len%3A200%20(-)	TRINITY_DN20856_c0_g1_i1|g.62313	TRINITY_DN20856_c0_g1_i1|m.62313	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN20961_c0_g1_i1%7Cg.91701%20TRINITY_DN20961_c0_g1_i1%7Cm.91701%20type%3Acomplete%20len%3A168%20(-)	TRINITY_DN20961_c0_g1_i1|g.91701	TRINITY_DN20961_c0_g1_i1|m.91701	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN20997_c0_g1_i1%7Cg.91691%20TRINITY_DN20997_c0_g1_i1%7Cm.91691%20type%3Ainternal%20len%3A150%20(-)	TRINITY_DN20997_c0_g1_i1|g.91691	TRINITY_DN20997_c0_g1_i1|m.91691	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ORF%20TRINITY_DN2100_c0_g1_i1%7Cg.31157%20TRINITY_DN2100_c0_g1_i1%7Cm.31157%20type%3A5prime_partial%20len%3A137%20(%2B)	TRINITY_DN2100_c0_g1_i1|g.31157	TRINITY_DN2100_c0_g1_i1|m.31157	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN21124_c0_g2_i1%7Cg.97490%20TRINITY_DN21124_c0_g2_i1%7Cm.97490%20type%3Ainternal%20len%3A320%20(-)	TRINITY_DN21124_c0_g2_i1|g.97490	TRINITY_DN21124_c0_g2_i1|m.97490	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN21124_c0_g2_i1%7Cg.97491%20TRINITY_DN21124_c0_g2_i1%7Cm.97491%20type%3Acomplete%20len%3A133%20(%2B)	TRINITY_DN21124_c0_g2_i1|g.97491	TRINITY_DN21124_c0_g2_i1|m.97491	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN21178_c0_g1_i1%7Cg.97492%20TRINITY_DN21178_c0_g1_i1%7Cm.97492%20type%3Ainternal%20len%3A148%20(%2B)	TRINITY_DN21178_c0_g1_i1|g.97492	TRINITY_DN21178_c0_g1_i1|m.97492	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN2124_c0_g1_i1%7Cg.31155%20TRINITY_DN2124_c0_g1_i1%7Cm.31155%20type%3Acomplete%20len%3A188%20(-)	TRINITY_DN2124_c0_g1_i1|g.31155	TRINITY_DN2124_c0_g1_i1|m.31155	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN21311_c0_g2_i1%7Cg.89720%20TRINITY_DN21311_c0_g2_i1%7Cm.89720%20type%3A5prime_partial%20len%3A313%20(-)	TRINITY_DN21311_c0_g2_i1|g.89720	TRINITY_DN21311_c0_g2_i1|m.89720	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN21311_c0_g2_i1%7Cg.89721%20TRINITY_DN21311_c0_g2_i1%7Cm.89721%20type%3Acomplete%20len%3A113%20(%2B)	TRINITY_DN21311_c0_g2_i1|g.89721	TRINITY_DN21311_c0_g2_i1|m.89721	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN21493_c0_g2_i1%7Cg.45619%20TRINITY_DN21493_c0_g2_i1%7Cm.45619%20type%3Acomplete%20len%3A190%20(%2B)	TRINITY_DN21493_c0_g2_i1|g.45619	TRINITY_DN21493_c0_g2_i1|m.45619	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN21558_c1_g1_i1%7Cg.79673%20TRINITY_DN21558_c1_g1_i1%7Cm.79673%20type%3Acomplete%20len%3A112%20(-)	TRINITY_DN21558_c1_g1_i1|g.79673	TRINITY_DN21558_c1_g1_i1|m.79673	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN21791_c0_g1_i1%7Cg.71684%20TRINITY_DN21791_c0_g1_i1%7Cm.71684%20type%3Acomplete%20len%3A134%20(-)	TRINITY_DN21791_c0_g1_i1|g.71684	TRINITY_DN21791_c0_g1_i1|m.71684	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN21879_c1_g1_i1%7Cg.97446%20TRINITY_DN21879_c1_g1_i1%7Cm.97446%20type%3A5prime_partial%20len%3A108%20(%2B)	TRINITY_DN21879_c1_g1_i1|g.97446	TRINITY_DN21879_c1_g1_i1|m.97446	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN22313_c0_g1_i1%7Cg.42002%20TRINITY_DN22313_c0_g1_i1%7Cm.42002%20type%3A5prime_partial%20len%3A196%20(-)	TRINITY_DN22313_c0_g1_i1|g.42002	TRINITY_DN22313_c0_g1_i1|m.42002	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN22347_c0_g2_i1%7Cg.29629%20TRINITY_DN22347_c0_g2_i1%7Cm.29629%20type%3A5prime_partial%20len%3A198%20(-)	TRINITY_DN22347_c0_g2_i1|g.29629	TRINITY_DN22347_c0_g2_i1|m.29629	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ORF%20TRINITY_DN22472_c0_g1_i1%7Cg.31447%20TRINITY_DN22472_c0_g1_i1%7Cm.31447%20type%3A5prime_partial%20len%3A184%20(%2B)	TRINITY_DN22472_c0_g1_i1|g.31447	TRINITY_DN22472_c0_g1_i1|m.31447	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22472_c0_g1_i1%7Cg.31448%20TRINITY_DN22472_c0_g1_i1%7Cm.31448%20type%3Acomplete%20len%3A180%20(-)	TRINITY_DN22472_c0_g1_i1|g.31448	TRINITY_DN22472_c0_g1_i1|m.31448	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22477_c0_g3_i1%7Cg.31424%20TRINITY_DN22477_c0_g3_i1%7Cm.31424%20type%3A5prime_partial%20len%3A126%20(-)	TRINITY_DN22477_c0_g3_i1|g.31424	TRINITY_DN22477_c0_g3_i1|m.31424	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN22477_c0_g3_i1%7Cg.31425%20TRINITY_DN22477_c0_g3_i1%7Cm.31425%20type%3Acomplete%20len%3A100%20(-)	TRINITY_DN22477_c0_g3_i1|g.31425	TRINITY_DN22477_c0_g3_i1|m.31425	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22479_c0_g1_i1%7Cg.31395%20TRINITY_DN22479_c0_g1_i1%7Cm.31395%20type%3A5prime_partial%20len%3A113%20(-)	TRINITY_DN22479_c0_g1_i1|g.31395	TRINITY_DN22479_c0_g1_i1|m.31395	protein_coding	1	1	6	2	2	0	0	0	0	0	0	0	6	0	0	1	0	0	1
ORF%20TRINITY_DN22568_c0_g1_i1%7Cg.82044%20TRINITY_DN22568_c0_g1_i1%7Cm.82044%20type%3Ainternal%20len%3A169%20(%2B)	TRINITY_DN22568_c0_g1_i1|g.82044	TRINITY_DN22568_c0_g1_i1|m.82044	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN22568_c0_g1_i1%7Cg.82045%20TRINITY_DN22568_c0_g1_i1%7Cm.82045%20type%3Ainternal%20len%3A169%20(%2B)	TRINITY_DN22568_c0_g1_i1|g.82045	TRINITY_DN22568_c0_g1_i1|m.82045	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN22583_c0_g1_i1%7Cg.82030%20TRINITY_DN22583_c0_g1_i1%7Cm.82030%20type%3Ainternal%20len%3A103%20(%2B)	TRINITY_DN22583_c0_g1_i1|g.82030	TRINITY_DN22583_c0_g1_i1|m.82030	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN22583_c0_g1_i1%7Cg.82031%20TRINITY_DN22583_c0_g1_i1%7Cm.82031%20type%3Ainternal%20len%3A102%20(-)	TRINITY_DN22583_c0_g1_i1|g.82031	TRINITY_DN22583_c0_g1_i1|m.82031	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82078%20TRINITY_DN22589_c0_g2_i1%7Cm.82078%20type%3Acomplete%20len%3A420%20(-)	TRINITY_DN22589_c0_g2_i1|g.82078	TRINITY_DN22589_c0_g2_i1|m.82078	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82079%20TRINITY_DN22589_c0_g2_i1%7Cm.82079%20type%3Acomplete%20len%3A142%20(%2B)	TRINITY_DN22589_c0_g2_i1|g.82079	TRINITY_DN22589_c0_g2_i1|m.82079	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82080%20TRINITY_DN22589_c0_g2_i1%7Cm.82080%20type%3A3prime_partial%20len%3A125%20(-)	TRINITY_DN22589_c0_g2_i1|g.82080	TRINITY_DN22589_c0_g2_i1|m.82080	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82081%20TRINITY_DN22589_c0_g2_i1%7Cm.82081%20type%3A5prime_partial%20len%3A118%20(%2B)	TRINITY_DN22589_c0_g2_i1|g.82081	TRINITY_DN22589_c0_g2_i1|m.82081	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN22681_c0_g1_i1%7Cg.68486%20TRINITY_DN22681_c0_g1_i1%7Cm.68486%20type%3Acomplete%20len%3A316%20(-)	TRINITY_DN22681_c0_g1_i1|g.68486	TRINITY_DN22681_c0_g1_i1|m.68486	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN23245_c0_g1_i1%7Cg.83757%20TRINITY_DN23245_c0_g1_i1%7Cm.83757%20type%3A3prime_partial%20len%3A265%20(-)	TRINITY_DN23245_c0_g1_i1|g.83757	TRINITY_DN23245_c0_g1_i1|m.83757	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
