# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant
ORF%20TRINITY_DN16826_c0_g2_i1%7Cg.47628%20TRINITY_DN16826_c0_g2_i1%7Cm.47628%20type%3Acomplete%20len%3A124%20(%2B)	TRINITY_DN16826_c0_g2_i1|g.47628	TRINITY_DN16826_c0_g2_i1|m.47628	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN17571_c0_g1_i1%7Cg.87317%20TRINITY_DN17571_c0_g1_i1%7Cm.87317%20type%3A5prime_partial%20len%3A103%20(%2B)	TRINITY_DN17571_c0_g1_i1|g.87317	TRINITY_DN17571_c0_g1_i1|m.87317	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN17813_c0_g1_i1%7Cg.29599%20TRINITY_DN17813_c0_g1_i1%7Cm.29599%20type%3A5prime_partial%20len%3A159%20(%2B)	TRINITY_DN17813_c0_g1_i1|g.29599	TRINITY_DN17813_c0_g1_i1|m.29599	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN18475_c0_g1_i1%7Cg.15889%20TRINITY_DN18475_c0_g1_i1%7Cm.15889%20type%3Acomplete%20len%3A107%20(-)	TRINITY_DN18475_c0_g1_i1|g.15889	TRINITY_DN18475_c0_g1_i1|m.15889	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN19438_c0_g1_i1%7Cg.103541%20TRINITY_DN19438_c0_g1_i1%7Cm.103541%20type%3Acomplete%20len%3A133%20(%2B)	TRINITY_DN19438_c0_g1_i1|g.103541	TRINITY_DN19438_c0_g1_i1|m.103541	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN20961_c0_g1_i1%7Cg.91701%20TRINITY_DN20961_c0_g1_i1%7Cm.91701%20type%3Acomplete%20len%3A168%20(-)	TRINITY_DN20961_c0_g1_i1|g.91701	TRINITY_DN20961_c0_g1_i1|m.91701	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN21124_c0_g2_i1%7Cg.97490%20TRINITY_DN21124_c0_g2_i1%7Cm.97490%20type%3Ainternal%20len%3A320%20(-)	TRINITY_DN21124_c0_g2_i1|g.97490	TRINITY_DN21124_c0_g2_i1|m.97490	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN21124_c0_g2_i1%7Cg.97491%20TRINITY_DN21124_c0_g2_i1%7Cm.97491%20type%3Acomplete%20len%3A133%20(%2B)	TRINITY_DN21124_c0_g2_i1|g.97491	TRINITY_DN21124_c0_g2_i1|m.97491	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN2124_c0_g1_i1%7Cg.31155%20TRINITY_DN2124_c0_g1_i1%7Cm.31155%20type%3Acomplete%20len%3A188%20(-)	TRINITY_DN2124_c0_g1_i1|g.31155	TRINITY_DN2124_c0_g1_i1|m.31155	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN21493_c0_g2_i1%7Cg.45619%20TRINITY_DN21493_c0_g2_i1%7Cm.45619%20type%3Acomplete%20len%3A190%20(%2B)	TRINITY_DN21493_c0_g2_i1|g.45619	TRINITY_DN21493_c0_g2_i1|m.45619	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN22313_c0_g1_i1%7Cg.42002%20TRINITY_DN22313_c0_g1_i1%7Cm.42002%20type%3A5prime_partial%20len%3A196%20(-)	TRINITY_DN22313_c0_g1_i1|g.42002	TRINITY_DN22313_c0_g1_i1|m.42002	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82078%20TRINITY_DN22589_c0_g2_i1%7Cm.82078%20type%3Acomplete%20len%3A420%20(-)	TRINITY_DN22589_c0_g2_i1|g.82078	TRINITY_DN22589_c0_g2_i1|m.82078	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82079%20TRINITY_DN22589_c0_g2_i1%7Cm.82079%20type%3Acomplete%20len%3A142%20(%2B)	TRINITY_DN22589_c0_g2_i1|g.82079	TRINITY_DN22589_c0_g2_i1|m.82079	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82080%20TRINITY_DN22589_c0_g2_i1%7Cm.82080%20type%3A3prime_partial%20len%3A125%20(-)	TRINITY_DN22589_c0_g2_i1|g.82080	TRINITY_DN22589_c0_g2_i1|m.82080	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ORF%20TRINITY_DN22589_c0_g2_i1%7Cg.82081%20TRINITY_DN22589_c0_g2_i1%7Cm.82081%20type%3A5prime_partial%20len%3A118%20(%2B)	TRINITY_DN22589_c0_g2_i1|g.82081	TRINITY_DN22589_c0_g2_i1|m.82081	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ORF%20TRINITY_DN22681_c0_g1_i1%7Cg.68486%20TRINITY_DN22681_c0_g1_i1%7Cm.68486%20type%3Acomplete%20len%3A316%20(-)	TRINITY_DN22681_c0_g1_i1|g.68486	TRINITY_DN22681_c0_g1_i1|m.68486	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN23267_c0_g3_i1%7Cg.83794%20TRINITY_DN23267_c0_g3_i1%7Cm.83794%20type%3Acomplete%20len%3A135%20(%2B)	TRINITY_DN23267_c0_g3_i1|g.83794	TRINITY_DN23267_c0_g3_i1|m.83794	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN23282_c0_g1_i1%7Cg.83790%20TRINITY_DN23282_c0_g1_i1%7Cm.83790%20type%3Ainternal%20len%3A213%20(-)	TRINITY_DN23282_c0_g1_i1|g.83790	TRINITY_DN23282_c0_g1_i1|m.83790	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN24136_c0_g1_i1%7Cg.16786%20TRINITY_DN24136_c0_g1_i1%7Cm.16786%20type%3Acomplete%20len%3A134%20(-)	TRINITY_DN24136_c0_g1_i1|g.16786	TRINITY_DN24136_c0_g1_i1|m.16786	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN24252_c0_g1_i1%7Cg.91743%20TRINITY_DN24252_c0_g1_i1%7Cm.91743%20type%3A5prime_partial%20len%3A258%20(-)	TRINITY_DN24252_c0_g1_i1|g.91743	TRINITY_DN24252_c0_g1_i1|m.91743	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN24252_c0_g1_i1%7Cg.91744%20TRINITY_DN24252_c0_g1_i1%7Cm.91744%20type%3A3prime_partial%20len%3A145%20(%2B)	TRINITY_DN24252_c0_g1_i1|g.91744	TRINITY_DN24252_c0_g1_i1|m.91744	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN24252_c0_g1_i1%7Cg.91745%20TRINITY_DN24252_c0_g1_i1%7Cm.91745%20type%3A5prime_partial%20len%3A122%20(%2B)	TRINITY_DN24252_c0_g1_i1|g.91745	TRINITY_DN24252_c0_g1_i1|m.91745	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN25670_c0_g3_i2%7Cg.91859%20TRINITY_DN25670_c0_g3_i2%7Cm.91859%20type%3Ainternal%20len%3A228%20(-)	TRINITY_DN25670_c0_g3_i2|g.91859	TRINITY_DN25670_c0_g3_i2|m.91859	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN25670_c0_g3_i2%7Cg.91860%20TRINITY_DN25670_c0_g3_i2%7Cm.91860%20type%3A5prime_partial%20len%3A153%20(%2B)	TRINITY_DN25670_c0_g3_i2|g.91860	TRINITY_DN25670_c0_g3_i2|m.91860	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN25948_c0_g2_i1%7Cg.76849%20TRINITY_DN25948_c0_g2_i1%7Cm.76849%20type%3A5prime_partial%20len%3A252%20(%2B)	TRINITY_DN25948_c0_g2_i1|g.76849	TRINITY_DN25948_c0_g2_i1|m.76849	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN26532_c0_g2_i1%7Cg.28529%20TRINITY_DN26532_c0_g2_i1%7Cm.28529%20type%3A5prime_partial%20len%3A147%20(%2B)	TRINITY_DN26532_c0_g2_i1|g.28529	TRINITY_DN26532_c0_g2_i1|m.28529	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN26994_c0_g1_i1%7Cg.31931%20TRINITY_DN26994_c0_g1_i1%7Cm.31931%20type%3A5prime_partial%20len%3A234%20(-)	TRINITY_DN26994_c0_g1_i1|g.31931	TRINITY_DN26994_c0_g1_i1|m.31931	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN26994_c0_g1_i1%7Cg.31933%20TRINITY_DN26994_c0_g1_i1%7Cm.31933%20type%3Acomplete%20len%3A157%20(-)	TRINITY_DN26994_c0_g1_i1|g.31933	TRINITY_DN26994_c0_g1_i1|m.31933	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN27312_c0_g2_i1%7Cg.12925%20TRINITY_DN27312_c0_g2_i1%7Cm.12925%20type%3A5prime_partial%20len%3A545%20(%2B)	TRINITY_DN27312_c0_g2_i1|g.12925	TRINITY_DN27312_c0_g2_i1|m.12925	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN27312_c0_g2_i1%7Cg.12926%20TRINITY_DN27312_c0_g2_i1%7Cm.12926%20type%3Acomplete%20len%3A134%20(-)	TRINITY_DN27312_c0_g2_i1|g.12926	TRINITY_DN27312_c0_g2_i1|m.12926	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN27312_c0_g2_i1%7Cg.12927%20TRINITY_DN27312_c0_g2_i1%7Cm.12927%20type%3A3prime_partial%20len%3A100%20(-)	TRINITY_DN27312_c0_g2_i1|g.12927	TRINITY_DN27312_c0_g2_i1|m.12927	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN27752_c0_g1_i1%7Cg.82151%20TRINITY_DN27752_c0_g1_i1%7Cm.82151%20type%3A5prime_partial%20len%3A151%20(%2B)	TRINITY_DN27752_c0_g1_i1|g.82151	TRINITY_DN27752_c0_g1_i1|m.82151	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN27752_c0_g1_i1%7Cg.82153%20TRINITY_DN27752_c0_g1_i1%7Cm.82153%20type%3A3prime_partial%20len%3A102%20(%2B)	TRINITY_DN27752_c0_g1_i1|g.82153	TRINITY_DN27752_c0_g1_i1|m.82153	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN27980_c0_g8_i1%7Cg.21105%20TRINITY_DN27980_c0_g8_i1%7Cm.21105%20type%3A5prime_partial%20len%3A131%20(-)	TRINITY_DN27980_c0_g8_i1|g.21105	TRINITY_DN27980_c0_g8_i1|m.21105	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28401_c0_g2_i2%7Cg.12181%20TRINITY_DN28401_c0_g2_i2%7Cm.12181%20type%3Acomplete%20len%3A165%20(%2B)	TRINITY_DN28401_c0_g2_i2|g.12181	TRINITY_DN28401_c0_g2_i2|m.12181	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN28518_c0_g1_i1%7Cg.10132%20TRINITY_DN28518_c0_g1_i1%7Cm.10132%20type%3A5prime_partial%20len%3A252%20(%2B)	TRINITY_DN28518_c0_g1_i1|g.10132	TRINITY_DN28518_c0_g1_i1|m.10132	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28518_c0_g1_i1%7Cg.10133%20TRINITY_DN28518_c0_g1_i1%7Cm.10133%20type%3A3prime_partial%20len%3A155%20(-)	TRINITY_DN28518_c0_g1_i1|g.10133	TRINITY_DN28518_c0_g1_i1|m.10133	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORF%20TRINITY_DN28654_c0_g2_i1%7Cg.58485%20TRINITY_DN28654_c0_g2_i1%7Cm.58485%20type%3Acomplete%20len%3A178%20(%2B)	TRINITY_DN28654_c0_g2_i1|g.58485	TRINITY_DN28654_c0_g2_i1|m.58485	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28654_c0_g2_i1%7Cg.58486%20TRINITY_DN28654_c0_g2_i1%7Cm.58486%20type%3Acomplete%20len%3A117%20(%2B)	TRINITY_DN28654_c0_g2_i1|g.58486	TRINITY_DN28654_c0_g2_i1|m.58486	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28659_c0_g1_i2%7Cg.58465%20TRINITY_DN28659_c0_g1_i2%7Cm.58465%20type%3A5prime_partial%20len%3A167%20(-)	TRINITY_DN28659_c0_g1_i2|g.58465	TRINITY_DN28659_c0_g1_i2|m.58465	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN28659_c0_g1_i2%7Cg.58466%20TRINITY_DN28659_c0_g1_i2%7Cm.58466%20type%3Acomplete%20len%3A155%20(%2B)	TRINITY_DN28659_c0_g1_i2|g.58466	TRINITY_DN28659_c0_g1_i2|m.58466	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN28659_c0_g1_i2%7Cg.58467%20TRINITY_DN28659_c0_g1_i2%7Cm.58467%20type%3Acomplete%20len%3A122%20(-)	TRINITY_DN28659_c0_g1_i2|g.58467	TRINITY_DN28659_c0_g1_i2|m.58467	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN28706_c0_g2_i1%7Cg.58506%20TRINITY_DN28706_c0_g2_i1%7Cm.58506%20type%3A5prime_partial%20len%3A134%20(-)	TRINITY_DN28706_c0_g2_i1|g.58506	TRINITY_DN28706_c0_g2_i1|m.58506	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28706_c0_g2_i1%7Cg.58507%20TRINITY_DN28706_c0_g2_i1%7Cm.58507%20type%3A5prime_partial%20len%3A133%20(%2B)	TRINITY_DN28706_c0_g2_i1|g.58507	TRINITY_DN28706_c0_g2_i1|m.58507	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28706_c0_g2_i1%7Cg.58508%20TRINITY_DN28706_c0_g2_i1%7Cm.58508%20type%3A5prime_partial%20len%3A123%20(-)	TRINITY_DN28706_c0_g2_i1|g.58508	TRINITY_DN28706_c0_g2_i1|m.58508	protein_coding	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN28802_c0_g1_i2%7Cg.34552%20TRINITY_DN28802_c0_g1_i2%7Cm.34552%20type%3A5prime_partial%20len%3A142%20(-)	TRINITY_DN28802_c0_g1_i2|g.34552	TRINITY_DN28802_c0_g1_i2|m.34552	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN28802_c0_g1_i2%7Cg.34553%20TRINITY_DN28802_c0_g1_i2%7Cm.34553%20type%3Acomplete%20len%3A138%20(-)	TRINITY_DN28802_c0_g1_i2|g.34553	TRINITY_DN28802_c0_g1_i2|m.34553	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN28871_c0_g1_i4%7Cg.12999%20TRINITY_DN28871_c0_g1_i4%7Cm.12999%20type%3Acomplete%20len%3A278%20(%2B)	TRINITY_DN28871_c0_g1_i4|g.12999	TRINITY_DN28871_c0_g1_i4|m.12999	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN28957_c0_g3_i1%7Cg.32826%20TRINITY_DN28957_c0_g3_i1%7Cm.32826%20type%3A5prime_partial%20len%3A161%20(-)	TRINITY_DN28957_c0_g3_i1|g.32826	TRINITY_DN28957_c0_g3_i1|m.32826	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN28957_c0_g3_i1%7Cg.32827%20TRINITY_DN28957_c0_g3_i1%7Cm.32827%20type%3A3prime_partial%20len%3A137%20(%2B)	TRINITY_DN28957_c0_g3_i1|g.32827	TRINITY_DN28957_c0_g3_i1|m.32827	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN29007_c0_g2_i1%7Cg.32860%20TRINITY_DN29007_c0_g2_i1%7Cm.32860%20type%3A5prime_partial%20len%3A233%20(%2B)	TRINITY_DN29007_c0_g2_i1|g.32860	TRINITY_DN29007_c0_g2_i1|m.32860	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN29007_c0_g2_i1%7Cg.32861%20TRINITY_DN29007_c0_g2_i1%7Cm.32861%20type%3Acomplete%20len%3A187%20(-)	TRINITY_DN29007_c0_g2_i1|g.32861	TRINITY_DN29007_c0_g2_i1|m.32861	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF%20TRINITY_DN29007_c0_g2_i1%7Cg.32862%20TRINITY_DN29007_c0_g2_i1%7Cm.32862%20type%3A3prime_partial%20len%3A109%20(-)	TRINITY_DN29007_c0_g2_i1|g.32862	TRINITY_DN29007_c0_g2_i1|m.32862	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29113_c0_g1_i2%7Cg.87009%20TRINITY_DN29113_c0_g1_i2%7Cm.87009%20type%3Acomplete%20len%3A317%20(%2B)	TRINITY_DN29113_c0_g1_i2|g.87009	TRINITY_DN29113_c0_g1_i2|m.87009	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29133_c0_g3_i1%7Cg.16661%20TRINITY_DN29133_c0_g3_i1%7Cm.16661%20type%3Acomplete%20len%3A184%20(%2B)	TRINITY_DN29133_c0_g3_i1|g.16661	TRINITY_DN29133_c0_g3_i1|m.16661	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29193_c1_g2_i1%7Cg.16610%20TRINITY_DN29193_c1_g2_i1%7Cm.16610%20type%3A5prime_partial%20len%3A169%20(-)	TRINITY_DN29193_c1_g2_i1|g.16610	TRINITY_DN29193_c1_g2_i1|m.16610	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORF%20TRINITY_DN29193_c1_g2_i1%7Cg.16611%20TRINITY_DN29193_c1_g2_i1%7Cm.16611%20type%3Acomplete%20len%3A151%20(-)	TRINITY_DN29193_c1_g2_i1|g.16611	TRINITY_DN29193_c1_g2_i1|m.16611	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29193_c1_g2_i1%7Cg.16612%20TRINITY_DN29193_c1_g2_i1%7Cm.16612%20type%3A5prime_partial%20len%3A116%20(%2B)	TRINITY_DN29193_c1_g2_i1|g.16612	TRINITY_DN29193_c1_g2_i1|m.16612	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29282_c0_g2_i1%7Cg.73394%20TRINITY_DN29282_c0_g2_i1%7Cm.73394%20type%3A5prime_partial%20len%3A426%20(%2B)	TRINITY_DN29282_c0_g2_i1|g.73394	TRINITY_DN29282_c0_g2_i1|m.73394	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29282_c0_g2_i1%7Cg.73396%20TRINITY_DN29282_c0_g2_i1%7Cm.73396%20type%3Acomplete%20len%3A146%20(%2B)	TRINITY_DN29282_c0_g2_i1|g.73396	TRINITY_DN29282_c0_g2_i1|m.73396	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ORF%20TRINITY_DN29513_c0_g1_i1%7Cg.2459%20TRINITY_DN29513_c0_g1_i1%7Cm.2459%20type%3A5prime_partial%20len%3A115%20(%2B)	TRINITY_DN29513_c0_g1_i1|g.2459	TRINITY_DN29513_c0_g1_i1|m.2459	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
